label_id,label_name,tissue
18,inner_ear_left,wm
23,spinal_cord_left,wm
4,caudate_putamen_left,wm
1,olfactory_bulb_left,gm
5,globus_pallidus_left,gm
14,lateral_ventricles_left,csf
2,neocortex_left,gm
3,basal_ganglia_left,gm
25,amygdala_left,gm
17,anterior_commisure_left,wm
8,hippocampal_formation_left,gm
20,fornix_left,wm
12,fimbria_left,wm
15,corpus_callosum_left,wm
13,internal_capsule_left,wm
24,pineal_gland_left,wm
7,hypothalamus_left,gm
6,thalamus_left,gm
16,third_ventricle_left,csf
19,midbrain_unsegmented_left,gm
10,inferior_colliculus_left,gm
9,superior_colliculus_left,gm
11,cerebellum_left,gm
22,hind_brain_unsegmented_left,gm
21,fourth_ventricle_left,csf
27,pons_left,gm
26,medulla_left,gm
45,inner_ear_right,wm
50,spinal_cord_right,wm
31,caudate_putamen_right,wm
28,olfactory_bulb_right,gm
32,globus_pallidus_right,gm
41,lateral_ventricles_right,csf
29,neocortex_right,gm
30,basal_ganglia_right,gm
52,amygdala_right,gm
44,anterior_commisure_right,wm
35,hippocampal_formation_right,gm
47,fornix_right,wm
39,fimbria_right,wm
42,corpus_callosum_right,wm
40,internal_capsule_right,wm
51,pineal_gland_right,wm
34,hypothalamus_right,gm
33,thalamus_right,gm
43,third_ventricle_right,csf
46,midbrain_unsegmented_right,gm
37,inferior_colliculus_right,gm
36,superior_colliculus_right,gm
38,cerebellum_right,gm
49,hind_brain_unsegmented_right,gm
48,fourth_ventricle_right,csf
54,pons_right,gm
53,medulla_right,gm
